zone_id,borough,zone,x,y,shape_length,shape_area
1,EWR,Newark Airport,-74.17678575,40.68951565,0.116357453,0.000782307
2,Queens,Jamaica Bay,-73.82612577,40.62572424,0.433469667,0.00486634
3,Bronx,Allerton/Pelham Gardens,-73.84947892,40.86588754,0.084341106,0.000314414
4,Manhattan,Alphabet City,-73.97702292,40.72415214,0.043566527,0.000111872
5,Staten Island,Arden Heights,-74.18992967,40.55034012,0.09214649,0.000497957
6,Staten Island,Arrochar/Fort Wadsworth,-74.06777446,40.59906217,0.150490543,0.000606461
7,Queens,Astoria,-73.92149057,40.76108473,0.107417171,0.000389788
8,Queens,Astoria Park,-73.92320241,40.77860696,0.027590691,2.66E-05
9,Queens,Auburndale,-73.78802025,40.75441093,0.099784092,0.000338444
10,Queens,Baisley Park,-73.79166546,40.6781247,0.099839479,0.000435824
11,Brooklyn,Bath Beach,-74.01061563,40.60397771,0.079211039,0.000264521
12,Manhattan,Battery Park,-74.01549033,40.70248841,0.036661301,4.15E-05
13,Manhattan,Battery Park City,-74.01611967,40.71161208,0.050281323,0.000149359
14,Brooklyn,Bay Ridge,-74.03044705,40.62358428,0.175213698,0.001381778
15,Queens,Bay Terrace/Fort Totten,-73.78797108,40.7852195,0.144336223,0.000925219
16,Queens,Bayside,-73.77166782,40.76120883,0.141291874,0.000871889
17,Brooklyn,Bedford,-73.9491813,40.6919941,0.093522633,0.000322958
18,Bronx,Bedford Park,-73.88692199,40.86876288,0.06979955,0.00014885
19,Queens,Bellerose,-73.7278694,40.73647244,0.101824875,0.000546661
20,Bronx,Belmont,-73.88603484,40.85777311,0.051440192,0.000134513
21,Brooklyn,Bensonhurst East,-73.98130073,40.60204898,0.115973569,0.000380251
22,Brooklyn,Bensonhurst West,-73.99429702,40.60962734,0.126170229,0.000472063
23,Staten Island,Bloomfield/Emerson Hill,-74.15944329,40.60750422,0.290556029,0.002195566
24,Manhattan,Bloomingdale,-73.96556853,40.80203277,0.046999962,6.07E-05
25,Brooklyn,Boerum Hill,-73.98645899,40.68561459,0.04714582,0.000124168
26,Brooklyn,Borough Park,-73.98956041,40.62861224,0.123547807,0.00053404
27,Queens,Breezy Point/Fort Tilden/Riis Beach,-73.9097812,40.55895009,0.202508809,0.001340888
28,Queens,Briarwood/Jamaica Hills,-73.80732908,40.71085278,0.097960782,0.000291204
29,Brooklyn,Brighton Beach,-73.96057985,40.58219555,0.071408313,0.000201674
30,Queens,Broad Channel,-73.82009755,40.60487218,0.094509767,0.000145862
31,Bronx,Bronx Park,-73.87572205,40.85992052,0.096424567,0.000333976
32,Bronx,Bronxdale,-73.86462414,40.86445171,0.054267216,0.000150879
33,Brooklyn,Brooklyn Heights,-73.9953288,40.69623833,0.053270293,0.000147417
34,Brooklyn,Brooklyn Navy Yard,-73.96769897,40.70255904,0.065705932,0.000173946
35,Brooklyn,Brownsville,-73.91248149,40.66380982,0.085787919,0.000323825
36,Brooklyn,Bushwick North,-73.91656398,40.69908474,0.087050787,0.000247666
37,Brooklyn,Bushwick South,-73.92594836,40.69626745,0.14281004,0.000452063
38,Queens,Cambria Heights,-73.73554956,40.69329557,0.083217569,0.000327393
39,Brooklyn,Canarsie,-73.89977387,40.63887893,0.132369621,0.000900283
40,Brooklyn,Carroll Gardens,-73.99581808,40.67850422,0.051850665,0.000108949
41,Manhattan,Central Harlem,-73.95206533,40.80420483,0.052793109,0.000143093
42,Manhattan,Central Harlem North,-73.93951647,40.82104621,0.092709227,0.000263897
43,Manhattan,Central Park,-73.96557218,40.78245974,0.099738618,0.000379663
44,Staten Island,Charleston/Tottenville,-74.22954655,40.52729818,0.235688968,0.001944656
45,Manhattan,Chinatown,-73.99825262,40.71305783,0.045906863,9.14E-05
46,Bronx,City Island,-73.78648631,40.8474999,0.13447543,0.000926392
47,Bronx,Claremont/Bathgate,-73.89692915,40.84575495,0.089827556,0.000163198
48,Manhattan,Clinton East,-73.98985665,40.76223676,0.043746744,9.43E-05
49,Brooklyn,Clinton Hill,-73.96493373,40.68851588,0.075290018,0.000203186
50,Manhattan,Clinton West,-73.9938994,40.76669237,0.055747987,0.000173249
51,Bronx,Co-Op City,-73.83042363,40.87406155,0.095361344,0.000395757
52,Brooklyn,Cobble Hill,-73.99692247,40.68660454,0.028907671,4.52E-05
53,Queens,College Point,-73.84407035,40.78198796,0.161500913,0.000947531
54,Brooklyn,Columbia Street,-74.00309279,40.68699115,0.076219245,0.000132452
55,Brooklyn,Coney Island,-73.99047414,40.57689962,0.149956808,0.000736275
56,Queens,Corona,-73.85905335,40.74159862,0.056847813,0.000180908
56,Queens,Corona,-73.85338447,40.75231604,0.019270505,1.80E-05
58,Bronx,Country Club,-73.82070538,40.8414755,0.059855409,0.000204981
59,Bronx,Crotona Park,-73.89307443,40.83885999,0.037794807,6.29E-05
60,Bronx,Crotona Park East,-73.8897822,40.83129412,0.078648288,0.000161833
61,Brooklyn,Crown Heights North,-73.94128203,40.67384285,0.117310808,0.000510772
62,Brooklyn,Crown Heights South,-73.94926997,40.66708956,0.082259336,0.000158238
63,Brooklyn,Cypress Hills,-73.87767643,40.68481019,0.119100722,0.000353191
64,Queens,Douglaston,-73.73139216,40.76063128,0.184451885,0.001057903
65,Brooklyn,Downtown Brooklyn/MetroTech,-73.98557106,40.69537261,0.044607068,8.18E-05
66,Brooklyn,DUMBO/Vinegar Hill,-73.98638275,40.70173247,0.054633459,0.000108379
67,Brooklyn,Dyker Heights,-74.01473587,40.61845441,0.099747078,0.000394282
68,Manhattan,East Chelsea,-73.99994016,40.74839722,0.04933738,0.000111073
69,Bronx,East Concourse/Concourse Village,-73.91536622,40.83060768,0.078989645,0.000199052
70,Queens,East Elmhurst,-73.86840291,40.76394782,0.063840318,0.000195458
71,Brooklyn,East Flatbush/Farragut,-73.93773452,40.64392852,0.093169455,0.000382573
72,Brooklyn,East Flatbush/Remsen Village,-73.92021005,40.65246063,0.09520207,0.000323532
73,Queens,East Flushing,-73.80658433,40.75369749,0.085302021,0.0002918
74,Manhattan,East Harlem North,-73.9383105,40.80556557,0.110290936,0.000295038
75,Manhattan,East Harlem South,-73.94495667,40.79065016,0.0876639,0.000240564
76,Brooklyn,East New York,-73.87841737,40.6586863,0.241203016,0.001266601
77,Brooklyn,East New York/Pennsylvania Avenue,-73.89571716,40.66770187,0.075461081,0.000191918
78,Bronx,East Tremont,-73.88664559,40.84603028,0.09359445,0.000191114
79,Manhattan,East Village,-73.98521412,40.72794428,0.042624911,0.000107893
80,Brooklyn,East Williamsburg,-73.94232931,40.71446957,0.117212621,0.000407322
81,Bronx,Eastchester,-73.84553257,40.87735883,0.197592772,0.000399567
82,Queens,Elmhurst,-73.87234401,40.73846392,0.11987565,0.000323601
83,Queens,Elmhurst/Maspeth,-73.88922183,40.7401456,0.105984933,0.000217464
84,Staten Island,Eltingville/Annadale/Prince's Bay,-74.17393733,40.5320172,0.233623987,0.002073756
85,Brooklyn,Erasmus,-73.95220884,40.64725497,0.057475147,0.000143638
86,Queens,Far Rockaway,-73.75418673,40.60255393,0.134245283,0.000623279
87,Manhattan,Financial District North,-74.00781212,40.70665962,0.03690155,6.72E-05
88,Manhattan,Financial District South,-74.01130777,40.7033938,0.035204604,5.73E-05
89,Brooklyn,Flatbush/Ditmas Park,-73.96269373,40.64098273,0.12279457,0.000447548
90,Manhattan,Flatiron,-73.99677751,40.74254616,0.030759162,5.53E-05
91,Brooklyn,Flatlands,-73.93254359,40.62738999,0.124996625,0.00053733
92,Queens,Flushing,-73.83044713,40.76412728,0.117830067,0.000374947
93,Queens,Flushing Meadows-Corona Park,-73.84189276,40.73923466,0.170998028,0.000594278
94,Bronx,Fordham South,-73.90059101,40.85826076,0.049832608,6.26E-05
95,Queens,Forest Hills,-73.84821994,40.72346527,0.113629605,0.00057277
96,Queens,Forest Park/Highland Park,-73.87601222,40.69576099,0.185180248,0.000547566
97,Brooklyn,Fort Greene,-73.97557658,40.69061566,0.062476015,0.000163304
98,Queens,Fresh Meadows,-73.77955023,40.73384122,0.121661018,0.000485773
99,Staten Island,Freshkills Park,-74.18770274,40.57961795,0.183371489,0.001210165
100,Manhattan,Garment District,-73.98878589,40.75351409,0.024813109,3.75E-05
101,Queens,Glen Oaks,-73.70907059,40.74372178,0.101709836,0.000452343
102,Queens,Glendale,-73.88199873,40.70267936,0.136900485,0.000296595
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.04518141,40.68986057,0.014305517,6.33E-06
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.03913087,40.69867328,0.021220833,1.19E-05
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.01879437,40.68813782,0.07742534,0.000368636
106,Brooklyn,Gowanus,-73.99176358,40.67336117,0.049211012,0.000113617
107,Manhattan,Gramercy,-73.98331035,40.73734838,0.038041365,7.46E-05
108,Brooklyn,Gravesend,-73.98037615,40.58911034,0.111171412,0.000352866
109,Staten Island,Great Kills,-74.15271469,40.54883072,0.17826782,0.001169601
110,Staten Island,Great Kills Park,-74.12584641,40.54326752,0.103946293,0.000525745
111,Brooklyn,Green-Wood Cemetery,-73.9909889,40.6521158,0.05993088,0.000208683
112,Brooklyn,Greenpoint,-73.9484722,40.72883035,0.107267876,0.000462069
113,Manhattan,Greenwich Village North,-73.99462822,40.73248595,0.032745351,5.80E-05
114,Manhattan,Greenwich Village South,-73.99867795,40.72861173,0.031727035,4.70E-05
115,Staten Island,Grymes Hill/Clifton,-74.0924861,40.62012755,0.116169414,0.000373169
116,Manhattan,Hamilton Heights,-73.94736754,40.82753526,0.068116484,0.000260415
117,Queens,Hammels/Arverne,-73.7760841,40.59605583,0.169885858,0.000904294
118,Staten Island,Heartland Village/Todt Hill,-74.13707013,40.58563106,0.243966218,0.001826939
119,Bronx,Highbridge,-73.92696621,40.83673003,0.083507036,0.000185779
120,Manhattan,Highbridge Park,-73.93080685,40.84600407,0.08326127,9.31E-05
121,Queens,Hillcrest/Pomonok,-73.79968831,40.72734719,0.096915337,0.000384563
122,Queens,Hollis,-73.76156419,40.71106847,0.066531844,0.000226597
123,Brooklyn,Homecrest,-73.9651983,40.6002048,0.083421139,0.000296445
124,Queens,Howard Beach,-73.85000504,40.65956677,0.12772441,0.000754838
125,Manhattan,Hudson Sq,-74.00717569,40.72537634,0.049732212,7.64E-05
126,Bronx,Hunts Point,-73.88497727,40.81391819,0.129948726,0.000703274
127,Manhattan,Inwood,-73.92032547,40.86506268,0.060018886,0.000163196
128,Manhattan,Inwood Hill Park,-73.92543209,40.87218761,0.070209029,0.000207406
129,Queens,Jackson Heights,-73.88740638,40.75905747,0.093272727,0.000473988
130,Queens,Jamaica,-73.80034752,40.70327388,0.142028321,0.000468323
131,Queens,Jamaica Estates,-73.7713745,40.72041233,0.116547121,0.000423696
132,Queens,JFK Airport,-73.77826366,40.64260452,0.245478517,0.002038301
133,Brooklyn,Kensington,-73.9743362,40.6393872,0.065134863,0.000157189
134,Queens,Kew Gardens,-73.8299927,40.70875018,0.069587822,0.000202375
135,Queens,Kew Gardens Hills,-73.82398551,40.72940996,0.121793046,0.000467912
136,Bronx,Kingsbridge Heights,-73.90571997,40.86480273,0.090628715,0.000148525
137,Manhattan,Kips Bay,-73.97711937,40.74035924,0.046107624,0.000116455
138,Queens,LaGuardia Airport,-73.87280371,40.77486739,0.107466934,0.000536797
139,Queens,Laurelton,-73.74332308,40.67774937,0.093299788,0.00044667
140,Manhattan,Lenox Hill East,-73.95456804,40.76550682,0.047584291,0.000114204
141,Manhattan,Lenox Hill West,-73.95971268,40.76683882,0.041514464,7.67E-05
142,Manhattan,Lincoln Square East,-73.98135241,40.77390599,0.038175894,7.57E-05
143,Manhattan,Lincoln Square West,-73.98797297,40.77577021,0.054179854,0.000151094
144,Manhattan,Little Italy/NoLiTa,-73.99740668,40.72058145,0.027620167,4.75E-05
145,Queens,Long Island City/Hunters Point,-73.94869919,40.74658997,0.114313845,0.000346642
146,Queens,Long Island City/Queens Plaza,-73.93363409,40.75452889,0.047140522,0.000104639
147,Bronx,Longwood,-73.89819293,40.81919853,0.058765495,0.000106418
148,Manhattan,Lower East Side,-73.99071836,40.71921167,0.039130502,6.97E-05
149,Brooklyn,Madison,-73.94847421,40.60655799,0.083680582,0.00027064
150,Brooklyn,Manhattan Beach,-73.94288426,40.58026232,0.089331491,0.000332568
151,Manhattan,Manhattan Valley,-73.96780839,40.79786627,0.054889941,0.000128849
152,Manhattan,Manhattanville,-73.95432487,40.8175772,0.057909477,0.000146638
153,Manhattan,Marble Hill,-73.91106258,40.87560041,0.024737239,3.25E-05
154,Brooklyn,Marine Park/Floyd Bennett Field,-73.89612331,40.59311867,0.227331571,0.001789687
155,Brooklyn,Marine Park/Mill Basin,-73.90676934,40.61778854,0.169808473,0.000868261
156,Staten Island,Mariners Harbor,-74.1648593,40.62874838,0.14447689,0.001052122
157,Queens,Maspeth,-73.90192569,40.72403936,0.131300218,0.00035437
158,Manhattan,Meatpacking/West Village West,-74.00838576,40.73524807,0.054809991,0.000185568
159,Bronx,Melrose South,-73.91358299,40.81825946,0.064363233,0.000171249
160,Queens,Middle Village,-73.88071225,40.71850382,0.141519143,0.000571235
161,Manhattan,Midtown Center,-73.97743184,40.75822648,0.03580391,7.19E-05
162,Manhattan,Midtown East,-73.97214549,40.75681616,0.035269815,4.79E-05
163,Manhattan,Midtown North,-73.97836699,40.76442545,0.034176867,4.09E-05
164,Manhattan,Midtown South,-73.98592881,40.74880767,0.035771612,5.56E-05
165,Brooklyn,Midwood,-73.95460295,40.6209587,0.088608036,0.000353959
166,Manhattan,Morningside Heights,-73.96181526,40.80957023,0.068823754,0.000255276
167,Bronx,Morrisania/Melrose,-73.90444259,40.82798804,0.090815974,0.000167529
168,Bronx,Mott Haven/Port Morris,-73.91705803,40.80743953,0.114517434,0.000547058
169,Bronx,Mount Hope,-73.90502146,40.84911482,0.060104658,0.000146028
170,Manhattan,Murray Hill,-73.97694199,40.74765428,0.045769009,7.43E-05
171,Queens,Murray Hill-Queens,-73.80888072,40.76894367,0.107353876,0.0005201
172,Staten Island,New Dorp/Midland Beach,-74.1039265,40.57246542,0.118476116,0.000658403
173,Queens,North Corona,-73.8630837,40.75177924,0.060063966,0.00017833
174,Bronx,Norwood,-73.87776056,40.87685259,0.067817756,0.000155929
175,Queens,Oakland Gardens,-73.75735677,40.74327385,0.134897665,0.000504921
176,Staten Island,Oakwood,-74.11961243,40.56206061,0.151995191,0.000657782
177,Brooklyn,Ocean Hill,-73.91110579,40.67709861,0.071580541,0.000198895
178,Brooklyn,Ocean Parkway South,-73.97068878,40.61763318,0.068252877,0.000175805
179,Queens,Old Astoria,-73.92681236,40.77142534,0.071380864,0.000183893
180,Queens,Ozone Park,-73.84936435,40.67516385,0.080527767,0.000247682
181,Brooklyn,Park Slope,-73.9790449,40.67201914,0.08953724,0.00030689
182,Bronx,Parkchester,-73.85794162,40.83740436,0.039360637,9.11E-05
183,Bronx,Pelham Bay,-73.83185405,40.84956865,0.039826296,9.52E-05
184,Bronx,Pelham Bay Park,-73.80461084,40.86478542,0.260815683,0.001988834
185,Bronx,Pelham Parkway,-73.85518043,40.85347166,0.086161968,0.000228537
